"","date","country","credit","gdp","inf","stock","yield","global_factor","fin_factor","iv1","iv2","q","year","NFCI","EPU","USRECD","USUN"
"4293",2013-04-01,"Honduras",0.782772070184509,NA,244.372787475586,NA,NA,0.765939831604856,2.22905861732244,0.989121603232517,2.79018767696729,"2","2013",-0.620344615384615,112.543718973796,0,0.75812972329198
"4294",2013-07-01,"Honduras",0.800834676531056,NA,247.204086303711,NA,NA,-0.782652636724104,0.426033674750232,1.736495670497,-2.08526075163812,"3","2013",-0.591283846153846,113.737454732259,0,0.787317533936184
"4295",2013-10-01,"Honduras",0.841598469642915,NA,248.99723815918,NA,NA,-0.959030563691085,1.19719365574988,2.66051786252289,0.150559139288382,"4","2013",-0.7123,121.843503316243,0,0.758643136741905
"4296",2014-01-01,"Honduras",0.839463336074995,NA,255.383392333984,NA,NA,0.0339773958947421,2.05915632641885,1.18965278009233,0.767840788347839,"1","2014",-0.743131538461538,91.9845581054688,0,0.76087071304517
"4297",2014-04-01,"Honduras",0.845713675245352,NA,259.378692626953,NA,NA,0.226007379228088,2.67630614179766,3.59972526486157,-0.456005728419111,"2","2014",-0.759422307692308,87.5059611002604,0,0.756041426255259
"4298",2014-07-01,"Honduras",0.85491640814763,NA,262.902069091797,NA,NA,2.33027982905169,1.95027987236119,1.85320477144426,1.50645486356724,"3","2014",-0.728474615384615,77.4146575927734,0,0.805269188356821
"4299",2014-10-01,"Honduras",0.886503236381371,NA,264.380645751953,NA,NA,3.35998136405486,1.6604786309258,1.82708958978495,5.68937080574784,"4","2014",-0.629014615384615,91.3180618286133,0,0.786218727481616
"4300",2015-01-01,"Honduras",0.903308941253983,NA,264.946899414062,NA,NA,-1.39707563319851,1.39724813054914,0.227724060061249,5.8458438544998,"1","2015",-0.516476153846154,107.56616973877,0,0.788757182501785
"4301",2015-04-01,"Honduras",0.901718215361761,NA,268.627593994141,NA,NA,-1.93335317264949,1.69207717769847,0.309012555151739,-3.83230487189192,"2","2015",-0.576313076923077,106.538513183594,0,0.779999251533645
"4302",2015-07-01,"Honduras",0.918498215345728,NA,270.829711914062,NA,NA,5.08473889419961,0.492911672773235,1.26327742405032,2.78541205810753,"3","2015",-0.48948,122.445142110189,0,0.853433444763882
"4303",2015-10-01,"Honduras",0.953833785791771,NA,270.546600341797,NA,NA,2.91535601775352,0.730733153098977,-1.17703526311637,4.30394773621377,"4","2015",-0.46601,98.1123530069987,0,0.876736614466324
"4304",2016-01-01,"Honduras",0.965569974911284,NA,272.434112548828,NA,NA,5.58892569427635,0.855280276436995,-0.885333449298932,0.717048670121627,"1","2016",-0.348880769230769,112.61018371582,0,0.864843251038889
"4305",2016-04-01,"Honduras",0.96725319845502,NA,275.108123779297,NA,NA,0.00603263934559486,2.40652146510843,-1.32845328065586,-3.70520556639105,"2","2016",-0.406505384615385,109.640576680501,0,0.782991731440242
