,date,Korea,Australia,Iceland,United Kingdom,Denmark,Spain,Japan,Norway,Canada,Finland,Netherlands,United States,Mexico,Belgium,Germany,Luxembourg,Portugal,Italy,Austria,Ireland,Switzerland,Sweden,France,Greece
77,1992-Q1,-0.154824639,0.53542285,-0.30196859,0.28952548,-0.30196859,4.287036842,1.333629648,-0.30196859,-0.787105832,-0.30196859,-0.30196859,0.542251591,-0.810967124,-0.30196859,-0.148135872,-0.30196859,-0.30196859,1.692634073,-0.30196859,-0.30196859,-1.831735456,3.343384507,0.53217549,-0.30196859
78,1992-Q2,-0.543366389,-0.770603266,-0.584611111,-0.46346562,-0.584611111,-0.111931149,1.10940843,-0.584611111,-1.295050653,-0.584611111,-0.584611111,-0.366147116,-0.975664522,-0.584611111,-0.994063953,-0.584611111,-0.584611111,-0.368740524,-0.584611111,-0.584611111,-2.182189981,1.967617927,0.492748014,-0.584611111
79,1992-Q3,-0.712833952,-0.648013909,-0.34672407,0.441154839,-0.34672407,2.475947721,1.529109816,-0.34672407,-1.531077062,-0.34672407,-0.34672407,-0.632764275,-1.058201336,-0.34672407,-0.234605244,-0.34672407,-0.34672407,2.633751656,-0.34672407,-0.34672407,-1.126911387,3.261624499,1.854481607,-0.34672407
80,1992-Q4,-0.139432109,-0.356459825,-0.209399698,1.593961574,-0.209399698,1.213237635,1.771084797,-0.209399698,-1.067342849,-0.209399698,-0.209399698,-0.339471515,-1.060581156,-0.209399698,-0.241636697,-0.209399698,-0.209399698,4.444710704,-0.209399698,-0.209399698,-0.642201685,5.721869431,2.168031638,-0.209399698
81,1993-Q1,-0.171843429,-0.714904859,-0.422876949,0.690459429,-0.422876949,2.824724425,0.220791808,-0.422876949,-1.677473541,-0.422876949,-0.422876949,-0.972343362,-1.208874292,-0.422876949,-1.300294435,-0.422876949,-0.422876949,3.791404845,-0.422876949,-0.422876949,-0.813588785,3.17745972,1.076779216,-0.422876949
82,1993-Q2,-0.30217988,-0.640275974,-0.599649471,-0.536664528,-0.599649471,1.43555866,0.023254508,-0.599649471,-1.585273111,-0.599649471,-0.599649471,-1.110291911,-1.462310181,-0.599649471,-1.306009288,-0.599649471,-0.599649471,2.908306974,-0.599649471,-0.599649471,-1.510262936,1.935804559,-0.849178342,-0.599649471
83,1993-Q3,-0.409028004,-1.007935423,-0.718749685,-0.644947829,-0.718749685,0.943933004,-0.240222016,-0.718749685,-1.524427618,-0.718749685,-0.718749685,-1.498830958,-1.818811475,-0.718749685,-1.575877613,-0.718749685,-0.718749685,2.512100792,-0.718749685,-0.718749685,-1.593101257,0.579093695,-1.765145136,-0.718749685
84,1993-Q4,-1.072261651,-0.983947922,-0.720063855,-0.510267888,-0.720063855,0.004949505,0.178009047,-0.720063855,-1.394828945,-0.720063855,-0.720063855,-1.049343086,-1.884668488,-0.720063855,-1.777222604,-0.720063855,-0.720063855,2.027298838,-0.720063855,-0.720063855,-1.460729529,0.839492151,-2.152903016,-0.720063855
85,1994-Q1,-0.561506845,-0.873214774,-0.596970827,-0.158298638,-0.596970827,1.279357832,-0.263983276,-0.596970827,-1.35661544,-0.596970827,-0.596970827,-0.687640946,-0.6645599,-0.596970827,-1.159147787,-0.596970827,-0.596970827,1.50835381,-0.596970827,-0.596970827,-1.14271191,1.034200147,-1.696684417,-0.596970827
86,1994-Q2,-0.227210369,-0.74097854,-0.390984519,0.991919316,-0.390984519,1.46741158,0.058781608,-0.390984519,-1.527462539,-0.390984519,-0.390984519,0.104371758,0.189785681,-0.390984519,-1.044120009,-0.390984519,-0.390984519,1.898962429,-0.390984519,-0.390984519,-1.130137861,1.225263771,0.110695038,-0.390984519
87,1994-Q3,-0.543975561,-0.640485149,-0.466122332,0.703852745,-0.466122332,2.640030715,-0.212183929,-0.466122332,-1.695066187,-0.466122332,-0.466122332,-0.466143737,-0.210317867,-0.466122332,-0.88972907,-0.466122332,-0.466122332,1.635868965,-0.466122332,-0.466122332,-1.525736873,2.078107718,0.643196526,-0.466122332
88,1994-Q4,-0.313647181,-0.463364275,-0.44721149,0.564186868,-0.44721149,1.442391,-0.301342651,-0.44721149,-1.336589684,-0.44721149,-0.44721149,-0.033360386,0.715911878,-0.44721149,-0.449102962,-0.44721149,-0.44721149,0.632934704,-0.44721149,-0.44721149,-1.049084172,1.712448777,0.573326034,-0.44721149
89,1995-Q1,-0.418200726,-0.171480353,-0.387213722,-0.162380425,-0.387213722,2.867870039,0.047647815,-0.387213722,-1.462421205,-0.387213722,-0.387213722,-0.906872679,4.502523126,-0.387213722,-0.784483251,-0.387213722,-0.387213722,1.453267476,-0.387213722,-0.387213722,-1.710312435,0.678295421,0.232230291,-0.387213722
